"Time_UTC";"Consumption";"Generation"
"01.01.2017 00:00";0;0
"01.01.2017 01:00";0;0
"01.01.2017 02:00";0;0
"01.01.2017 03:00";0;0
"01.01.2017 04:00";0;0
"01.01.2017 05:00";0;0
"01.01.2017 06:00";0;0.75
"01.01.2017 07:00";0;273.865
"01.01.2017 08:00";0;2082.84
"01.01.2017 09:00";0;4678.8675
"01.01.2017 10:00";0;6830.425
"01.01.2017 11:00";0;7925.885
"01.01.2017 12:00";0;7084.2475
"01.01.2017 13:00";0;4635.205
"01.01.2017 14:00";0;1660.5075
"01.01.2017 15:00";0;118.13
"01.01.2017 16:00";0;0.25
"01.01.2017 17:00";0;0
"01.01.2017 18:00";0;0
"01.01.2017 19:00";0;0
"01.01.2017 20:00";0;0
"01.01.2017 21:00";0;0
"01.01.2017 22:00";0;0
"01.01.2017 23:00";0;0
"02.01.2017 00:00";0;0
"02.01.2017 01:00";0;0
"02.01.2017 02:00";0;0
"02.01.2017 03:00";0;0
"02.01.2017 04:00";0;0
"02.01.2017 05:00";0;0
"02.01.2017 06:00";0;0
"02.01.2017 07:00";0;105.3575
"02.01.2017 08:00";0;773.73
"02.01.2017 09:00";0;1627.1575
"02.01.2017 10:00";0;2401.1775
"02.01.2017 11:00";0;2868.22
"02.01.2017 12:00";0;2527.89
"02.01.2017 13:00";0;1572.26
"02.01.2017 14:00";0;556.4925
"02.01.2017 15:00";0;47.7625
"02.01.2017 16:00";0;0
"02.01.2017 17:00";0;0
"02.01.2017 18:00";0;0
"02.01.2017 19:00";0;0
"02.01.2017 20:00";0;0
"02.01.2017 21:00";0;0
"02.01.2017 22:00";0;0
"02.01.2017 23:00";0;0
"03.01.2017 00:00";0;0
"03.01.2017 01:00";0;0
"03.01.2017 02:00";0;0
"03.01.2017 03:00";0;0
"03.01.2017 04:00";0;0
"03.01.2017 05:00";0;0
"03.01.2017 06:00";0;0
"03.01.2017 07:00";0;69.4625
"03.01.2017 08:00";0;537.625
"03.01.2017 09:00";0;1166.2625
"03.01.2017 10:00";0;1817.065
"03.01.2017 11:00";0;2147.14
"03.01.2017 12:00";0;1907.6625
"03.01.2017 13:00";0;1220.0175
"03.01.2017 14:00";0;438.5275
