Time_UTC,Generation_Solar,Price,Generation_Gas,Generation_WindOffshore,Generation_WindOnshore,Load,hour,dayOfYear,dayOfWeek
2017-01-01 00:00:00,0.0,20.9,1162.8075,3303.5075,12059.0775,43202.445,0,1,6
2017-01-01 01:00:00,0.0,18.13,1136.92,3298.9075,11780.72,42064.3325,1,1,6
2017-01-01 02:00:00,0.0,16.03,1116.84,3299.775,11431.315,40522.7475,2,1,6
2017-01-01 03:00:00,0.0,16.43,1116.2875,3298.55,11566.4525,39792.84,3,1,6
2017-01-01 04:00:00,0.0,13.75,1117.0225,3289.35,11964.01,38553.7975,4,1,6
2017-01-01 05:00:00,0.0,11.1,1110.5675,3187.7425,12715.94,37397.805,5,1,6
2017-01-01 06:00:00,0.75,15.47,1141.4575,2883.335,13019.3525,38040.935,6,1,6
2017-01-01 07:00:00,273.865,16.88,1150.6,2660.8725,13154.67,38668.5275,7,1,6
2017-01-01 08:00:00,2082.84,21.81,1141.905,2605.52,13116.025,41774.2425,8,1,6
2017-01-01 09:00:00,4678.8675,26.24,1142.61,2308.0875,12196.19,44750.3,9,1,6
2017-01-01 10:00:00,6830.425,26.42,1182.105,2170.4325,11130.1975,47242.325,10,1,6
2017-01-01 11:00:00,7925.885,27.66,1190.295,1952.1325,10283.1125,44897.4075,11,1,6
2017-01-01 12:00:00,7084.2475,28.7,1170.4,1426.815,9593.2775,40823.1425,12,1,6
2017-01-01 13:00:00,4635.205,29.66,1150.515,785.2125,9043.7025,41060.54,13,1,6
2017-01-01 14:00:00,1660.5075,35.33,1135.4825,448.2225,8545.9,41734.0475,14,1,6
2017-01-01 15:00:00,118.13,44.12,1157.55,525.9525,8621.1575,43879.7075,15,1,6
2017-01-01 16:00:00,0.25,51.59,1179.0525,595.565,9141.7625,47692.7625,16,1,6
2017-01-01 17:00:00,0.0,53.95,1187.4125,755.7425,9120.16,48281.045,17,1,6
2017-01-01 18:00:00,0.0,50.97,1200.085,930.4275,9296.23,47112.52,18,1,6
2017-01-01 19:00:00,0.0,44.93,1210.89,1582.7475,9511.585,44660.2,19,1,6
2017-01-01 20:00:00,0.0,38.83,1207.66,1980.885,9552.865,42549.1525,20,1,6
2017-01-01 21:00:00,0.0,42.17,1214.5775,2447.505,9891.2525,42645.4725,21,1,6
2017-01-01 22:00:00,0.0,33.06,1224.9975,2714.06,9545.665,40386.195,22,1,6
2017-01-01 23:00:00,0.0,30.54,1209.5225,2960.5725,9428.6025,37958.7375,23,1,6
2017-01-02 00:00:00,0.0,28.91,1216.1425,2993.98,9915.46,36057.0075,0,2,0
2017-01-02 01:00:00,0.0,28.11,1218.1925,2651.03,10058.445,35728.975,1,2,0
2017-01-02 02:00:00,0.0,27.89,1210.4375,2398.26,10295.9325,35852.315,2,2,0
2017-01-02 03:00:00,0.0,27.73,1200.9725,2105.0625,9883.7825,37055.155,3,2,0
2017-01-02 04:00:00,0.0,31.18,1184.5925,2039.05,9823.59,39786.0725,4,2,0
