"Area","MTU","Fossil Gas - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Germany (DE)","01.01.2017 00:00 - 01.01.2017 00:15 (UTC)","2259","0","3304","12040"
"Germany (DE)","01.01.2017 00:15 - 01.01.2017 00:30 (UTC)","2250","0","3300","12016"
"Germany (DE)","01.01.2017 00:30 - 01.01.2017 00:45 (UTC)","2251","0","3300","12031"
"Germany (DE)","01.01.2017 00:45 - 01.01.2017 01:00 (UTC)","2226","0","3296","11951"
"Germany (DE)","01.01.2017 01:00 - 01.01.2017 01:15 (UTC)","2228","0","3297","11957"
"Germany (DE)","01.01.2017 01:15 - 01.01.2017 01:30 (UTC)","2217","0","3296","11838"
"Germany (DE)","01.01.2017 01:30 - 01.01.2017 01:45 (UTC)","2206","0","3296","11620"
"Germany (DE)","01.01.2017 01:45 - 01.01.2017 02:00 (UTC)","2188","0","3294","11530"
"Germany (DE)","01.01.2017 02:00 - 01.01.2017 02:15 (UTC)","2180","0","3295","11481"
"Germany (DE)","01.01.2017 02:15 - 01.01.2017 02:30 (UTC)","2173","0","3295","11474"
"Germany (DE)","01.01.2017 02:30 - 01.01.2017 02:45 (UTC)","2164","0","3297","11414"
"Germany (DE)","01.01.2017 02:45 - 01.01.2017 03:00 (UTC)","2158","0","3298","11518"
"Germany (DE)","01.01.2017 03:00 - 01.01.2017 03:15 (UTC)","2174","0","3299","11575"
"Germany (DE)","01.01.2017 03:15 - 01.01.2017 03:30 (UTC)","2186","0","3297","11573"
"Germany (DE)","01.01.2017 03:30 - 01.01.2017 03:45 (UTC)","2177","0","3293","11535"
"Germany (DE)","01.01.2017 03:45 - 01.01.2017 04:00 (UTC)","2179","0","3291","11677"
"Germany (DE)","01.01.2017 04:00 - 01.01.2017 04:15 (UTC)","2208","0","3294","11789"
"Germany (DE)","01.01.2017 04:15 - 01.01.2017 04:30 (UTC)","2204","0","3295","11906"
"Germany (DE)","01.01.2017 04:30 - 01.01.2017 04:45 (UTC)","2190","0","3281","11944"
"Germany (DE)","01.01.2017 04:45 - 01.01.2017 05:00 (UTC)","2198","0","3274","12026"
"Germany (DE)","01.01.2017 05:00 - 01.01.2017 05:15 (UTC)","2173","0","3265","12343"
"Germany (DE)","01.01.2017 05:15 - 01.01.2017 05:30 (UTC)","2177","0","3206","12278"
"Germany (DE)","01.01.2017 05:30 - 01.01.2017 05:45 (UTC)","2183","0","3154","12282"
"Germany (DE)","01.01.2017 05:45 - 01.01.2017 06:00 (UTC)","2162","0","3111","12471"
"Germany (DE)","01.01.2017 06:00 - 01.01.2017 06:15 (UTC)","2188","0","3015","12571"
"Germany (DE)","01.01.2017 06:15 - 01.01.2017 06:30 (UTC)","2204","1","2893","12518"
"Germany (DE)","01.01.2017 06:30 - 01.01.2017 06:45 (UTC)","2209","1","2843","12626"
"Germany (DE)","01.01.2017 06:45 - 01.01.2017 07:00 (UTC)","2216","1","2789","12807"
"Germany (DE)","01.01.2017 07:00 - 01.01.2017 07:15 (UTC)","2248","20","2779","12766"
"Germany (DE)","01.01.2017 07:15 - 01.01.2017 07:30 (UTC)","2249","88","2684","12855"
"Germany (DE)","01.01.2017 07:30 - 01.01.2017 07:45 (UTC)","2267","293","2607","12935"
"Germany (DE)","01.01.2017 07:45 - 01.01.2017 08:00 (UTC)","2251","695","2612","12964"
"Germany (DE)","01.01.2017 08:00 - 01.01.2017 08:15 (UTC)","2231","1202","2617","12948"
"Germany (DE)","01.01.2017 08:15 - 01.01.2017 08:30 (UTC)","2239","1763","2612","12885"
"Germany (DE)","01.01.2017 08:30 - 01.01.2017 08:45 (UTC)","2239","2340","2591","12759"
"Germany (DE)","01.01.2017 08:45 - 01.01.2017 09:00 (UTC)","2244","3026","2593","12585"
"Germany (DE)","01.01.2017 09:00 - 01.01.2017 09:15 (UTC)","2204","3744","2517","12342"
"Germany (DE)","01.01.2017 09:15 - 01.01.2017 09:30 (UTC)","2219","4399","2388","12022"
"Germany (DE)","01.01.2017 09:30 - 01.01.2017 09:45 (UTC)","2205","4953","2218","11563"
"Germany (DE)","01.01.2017 09:45 - 01.01.2017 10:00 (UTC)","2216","5619","2126","11153"
"Germany (DE)","01.01.2017 10:00 - 01.01.2017 10:15 (UTC)","2242","6159","2057","10960"
"Germany (DE)","01.01.2017 10:15 - 01.01.2017 10:30 (UTC)","2252","6613","2150","10718"
"Germany (DE)","01.01.2017 10:30 - 01.01.2017 10:45 (UTC)","2250","7072","2259","10610"
"Germany (DE)","01.01.2017 10:45 - 01.01.2017 11:00 (UTC)","2248","7479","2249","10379"
"Germany (DE)","01.01.2017 11:00 - 01.01.2017 11:15 (UTC)","2240","7821","2161","10229"
"Germany (DE)","01.01.2017 11:15 - 01.01.2017 11:30 (UTC)","2258","7929","2117","10063"
"Germany (DE)","01.01.2017 11:30 - 01.01.2017 11:45 (UTC)","2247","8032","1872","9781"
